gene	Chr	Length
AP000827.1	11	258
UBTFL1	11	1182
AP000648.1	11	397
AP000648.2	11	404
NAALAD2	11	61380
AP000648.3	11	4507
CHORDC1	11	22205
AP002364.1	11	3386
DISC1FP1	11	663821
TUBAP2	11	1613
MIR4490	11	84
AP002782.1	11	614
MIR1261	11	82
AP001002.3	11	206
AP001002.1	11	1513
AP001002.2	11	386
OSBPL9P2	11	1228
OSBPL9P3	11	595
AP003386.1	11	9212
AP003485.2	11	610
AP003485.1	11	753
AP002791.1	11	381
AP003028.1	11	17933
TUBB4BP4	11	304
AP002799.1	11	423
RPL7AP57	11	784
NDUFB11P1	11	465
FAT3	11	544375
PGAM1P9	11	755
AP000722.1	11	7986
AP000805.1	11	784
AP003718.1	11	18136
AP003171.3	11	1333
AP003171.2	11	1989
AP003171.4	11	15439
SNRPGP16	11	226
AP003171.1	11	807
MTNR1B	11	15347
AP002371.1	11	433
AP002371.2	11	503
AP003072.4	11	310
SLC36A4	11	53794
AP003072.2	11	676
AP003072.5	11	773
AP003072.3	11	594
AP003072.1	11	145
AP003969.1	11	1036
AP003969.2	11	2275
DEUP1	11	108517
SMCO4	11	65037
AP004242.1	11	349
RN7SL223P	11	294
AP003499.3	11	857
AP003499.2	11	483
AP003499.1	11	574
CEP295	11	68720
SCARNA9	11	353
AP001273.1	11	3152
TAF1D	11	54444
SNORD6	11	73
MIR1304	11	91
C11orf54	11	23159
AP001273.2	11	70715
MED17	11	30737
VSTM5	11	32300
AP002795.1	11	84
HPRT1P3	11	576
HEPHL1	11	92391
PHBP16	11	950
PANX1	11	53045
AP002784.2	11	549
AP002784.1	11	41057
IZUMO1R	11	2130
GPR83	11	24109
MRE11	11	78331
MIR548L	11	86
AP000786.1	11	663
ANKRD49	11	5955
C11orf97	11	19692
PIWIL4	11	77582
FUT4	11	6059
AP000943.3	11	195026
AP000943.4	11	357
AP000943.1	11	2796
AP000943.2	11	9725
AMOTL1	11	170323
AP002383.3	11	51470
AP002383.1	11	720
CWC15	11	10991
KDM4D	11	25838
AP002383.2	11	675
KDM4E	11	2339
AP002383.6	11	697
AP002383.4	11	2330
AP002383.5	11	1161
KDM4F	11	1917
AP001264.1	11	703
SRSF8	11	4028
ENDOD1	11	42836
BUD13P1	11	1489
AP000787.2	11	568
AP000787.1	11	83566
SESN3	11	67029
AP000787.3	11	307
AP001790.1	11	15148
AP000820.1	11	2538
AP001877.1	11	484
FAM76B	11	21468
CEP57	11	42729
MTMR2	11	92434
RNA5SP345	11	108
AP000870.1	11	406
MAML2	11	366583
MIR1260B	11	89
CCDC82	11	37155
JRKL	11	117586
JRKL-AS1	11	59695
RNA5SP346	11	121
AP003781.1	11	6324
AP003066.1	11	123506
AP003066.2	11	555
MED28P5	11	438
AP001836.1	11	523
AP003067.1	11	37344
RNA5SP347	11	119
AP003730.2	11	63982
AP003730.1	11	285
AP001317.1	11	960
AP003038.1	11	1754
AP003715.1	11	7345
AP002428.1	11	6168
CNTN5	11	1337933
RN7SKP53	11	315
RPA2P3	11	770
RN7SL222P	11	299
AP000620.1	11	504
AP001351.1	11	3794
ARHGAP42	11	304285
RN7SKP115	11	317
TMEM133	11	1953
PGR	11	100901
PGR-AS1	11	80515
AP001533.1	11	546
TRPC6	11	420999
MIR3920	11	86
AP003080.1	11	10862
AP000776.1	11	4027
ANGPTL5	11	25849
CEP126	11	86044
C11orf70	11	37118
AP001527.1	11	1957
AP001527.2	11	631
YAP1	11	122963
AP000942.2	11	1072
AP000942.1	11	747
AP000942.3	11	160
AP000942.4	11	241
RNU6-952P	11	108
BIRC3	11	21954
BIRC2	11	31460
TMEM123	11	74053
AP001830.1	11	9090
AP001830.2	11	31547
MMP7	11	10246
MMP20	11	48498
AP000851.1	11	21155
AP000851.2	11	2604
MMP27	11	14320
MMP8	11	15256
WTAPP1	11	89799
AP000619.1	11	3874
AP000619.3	11	1127
MMP10	11	10126
MMP1	11	8241
AP000619.2	11	969
MMP3	11	8003
MMP12	11	12299
BOLA3P1	11	355
RNU7-159P	11	62
MMP13	11	12740
AP001486.3	11	3169
AP001486.1	11	476
AP001486.2	11	5113
DCUN1D5	11	30140
DYNC2H1	11	370433
MTCO3P15	11	574
MTATP6P15	11	835
MTCO2P15	11	656
MTCO1P15	11	1526
MTND2P26	11	1029
MTND1P36	11	936
AP003461.1	11	78
AP002989.1	11	219278
MIR4693	11	75
PDGFD	11	257194
AP003043.1	11	999
DDI1	11	2609
MIR7641-1	11	61
AP003083.1	11	163454
AP001485.1	11	199
AP002004.2	11	154
CASP12	11	12953
AP002004.1	11	17525
CASP4	11	26571
CASP5	11	28934
CASP1	11	9808
CARD16	11	60106
CASP1P2	11	8197
CARD17	11	8963
CASP1P1	11	679
CARD18	11	2006
AP003181.1	11	373771
OR2AL1P	11	507
AP003181.2	11	181
GRIA4	11	372099
AP000641.1	11	1639
RNU4-55P	11	137
RNU6-277P	11	106
MSANTD4	11	26781
KBTBD3	11	26668
AASDHPPT	11	23210
AP001001.1	11	15986
AP001001.2	11	19658
AP002001.1	11	14887
AP002001.2	11	1747
GUCY1A2	11	344513
AP001282.2	11	930
AP001282.1	11	1499
AP003057.1	11	1245
AP000766.1	11	4140
CWF19L2	11	131500
SMARCE1P1	11	1186
ALKBH8	11	63021
AP001823.1	11	1003
ELMOD1	11	75689
AP000889.2	11	490
AP000889.1	11	985
SLN	11	12316
AP002353.1	11	2710
SLC35F2	11	137303
AP001024.1	11	345
RAB39A	11	34980
CUL5	11	99044
AP002433.1	11	16611
ACAT1	11	26261
NPAT	11	65428
ATM	11	146619
C11orf65	11	159013
KDELC2	11	26328
EXPH5	11	88308
DDX10	11	275906
AP002453.1	11	668
AP002453.2	11	2364
CYCSP29	11	318
AP003027.1	11	2080
AP003123.1	11	35503
RNU6-654P	11	107
RNA5SP349	11	109
AP003049.2	11	228823
C11orf87	11	6995
AP003049.1	11	457
AP003102.1	11	661
AP002444.1	11	72406
AP001981.1	11	738
RPSAP50	11	852
AP001981.2	11	418
AP001889.1	11	633
ZC3H12C	11	78481
RDX	11	121843
AP000924.1	11	51271
FDX1	11	34999
ARHGAP20	11	136148
HNRNPA1P60	11	951
AP002963.1	11	184
RNA5SP350	11	111
AP003973.2	11	499
AP003973.3	11	87710
RPS17P15	11	349
AP003973.1	11	691
C11orf53	11	40597
COLCA1	11	14259
COLCA2	11	10181
MIR4491	11	68
POU2AF1	11	103379
RNU2-60P	11	128
AP002008.3	11	3945
AP002008.2	11	26948
BTG4	11	44829
MIR34B	11	84
MIR34C	11	77
AP002008.1	11	12713
C11orf88	11	22247
LAYN	11	21466
SIK2	11	128463
AP000925.1	11	1449
RN7SKP273	11	314
PPP2R1B	11	39520
AP001781.2	11	9683
ALG9	11	89387
AP001781.3	11	93140
ALG9-IT1	11	11999
AP001781.1	11	207
FDXACB1	11	7188
C11orf1	11	7041
RPL37AP8	11	276
CRYAB	11	15158
HSPB2	11	1852
HSPB2-C11orf52	11	14136
C11orf52	11	8841
DIXDC1	11	95441
RNA5SP351	11	109
AP000907.2	11	1254
AP000907.3	11	818
DLAT	11	39577
AP000907.1	11	510
RNU6-893P	11	100
AP000907.4	11	237
PIH1D2	11	10265
C11orf57	11	11065
TIMM8B	11	1999
SDHD	11;11	107033
IL18	11	20867
AP002884.4	11	7410
TEX12	11	5188
BCO2	11	49233
KCTD9P4	11	2419
MRPS36P4	11	298
AP002884.2	11	395
PTS	11	43591
AP002884.1	11	655
PLET1	11	12382
AP002884.5	11	1132
ST13P10	11	1082
AP002884.3	11	91786
RNU6-44P	11	107
AP003063.1	11	228612
RPL23AP62	11	453
AP003063.2	11	21583
snosnR66	11	99
AP003100.1	11	8551
AP000802.1	11	4182
NCAM1	11	317190
RNU7-187P	11	68
NCAM1-AS1	11	4370
AP000880.1	11	36001
TTC12	11	69016
AP002840.2	11	640
ANKK1	11	12628
AP002840.1	11	6797
DRD2	11	66077
MIR4301	11	66
TMPRSS5	11	18824
MTRF1LP1	11	679
ZW10	11	40625
RPS29P19	11	171
AP003170.5	11	335
AP003170.4	11	1299
CLDN25	11	754
ATF4P4	11	2136
AP003170.2	11	786
LRRC37A13P	11	287
USP28	11	77697
AP003170.3	11	4382
AP003170.1	11	1030
RNU6-1107P	11	104
HTR3B	11	41889
HTR3A	11	15433
ZBTB16	11	191084
AP002518.2	11	145956
NNMT	11	55499
AP002518.1	11	19411
C11orf71	11	9069
RBM7	11	14174
AP002373.1	11	43251
REXO2	11	10894
AP002373.2	11	1060
NXPE2P1	11	726
AC020549.2	11	508
NXPE1	11	38181
NXPE4	11	25172
AC020549.1	11	1440
NXPE2	11	28548
CADM1	11	335740
AP000462.3	11	6686
AP000462.1	11	14303
AP000462.2	11	903
AP003174.2	11	632
AP003174.3	11	516
RPL12P46	11	195
AP003174.1	11	18043
AP000997.1	11	1679
AP000997.2	11	8400
AP000997.3	11	2250
AP002991.1	11	183489
AP002991.2	11	2801
LINC00900	11	6380
AP000797.3	11	10222
AP000797.2	11	606
AP000797.1	11	387
LINC02151	11	3732
AP000770.2	11	100
AP000770.1	11	18831
BUD13	11	24819
AP006216.1	11	817
ZPR1	11	14252
APOA5	11	3054
AP006216.2	11	800
APOA4	11	2607
APOC3	11	3367
APOA1	11	2200
APOA1-AS	11	19613
SIK3	11	255036
RNY4P6	11	96
AP000936.3	11	255
AP000936.1	11	9184
AP000936.2	11	1388
AP005018.2	11	3055
AP005018.1	11	301
PAFAH1B2	11	32628
SIDT2	11	18713
TAGLN	11	5462
PCSK7	11	28189
AP000892.3	11	5326
RNF214	11	53821
BACE1	11	31053
BACE1-AS	11	2698
AP000892.2	11	324
CEP164	11	98712
AP000892.1	11	11677
PRR13P3	11	376
DSCAML1	11	389753
AP000711.1	11	917
AP001554.1	11	376
FXYD2	11	27855
AP000757.2	11	3550
FXYD6-FXYD2	11	56505
AP000757.1	11	5224
FXYD6	11	40511
TMPRSS13	11	28817
IL10RA	11	16690
TMPRSS4-AS1	11	84666
RN7SL828P	11	303
TMPRSS4	11	44879
SCN4B	11	19512
SCN2B	11	14723
JAML	11	31355
HSPE1P18	11	280
MPZL3	11	25661
MPZL2	11	11134
AP002800.1	11	2225
CD3E	11	11631
AP001582.1	11	295
CD3D	11	3791
CD3G	11	10818
UBE4A	11	39627
AP001267.1	11	4801
ATP5L	11	30343
AP001267.4	11	545
AP001267.2	11	2086
KMT2A	11	90343
AP001267.3	11	19184
TTC36	11	3726
TMEM25	11	16240
IFT46	11	28443
RPL5P30	11	891
ARCN1	11	30644
RNU6-1157P	11	106
PHLDB1	11	51599
AP000941.1	11	1478
MIR6716	11	80
TREH	11	22375
TREHP1	11	2562
RNU6-376P	11	106
AP002954.1	11	45657
DDX6	11	43384
AP004609.3	11	1884
AP004609.2	11	190
SETP16	11	711
CXCR5	11	14034
AP004609.1	11	1902
BCL9L	11	31734
MIR4492	11	80
UPK2	11	33396
RN7SL688P	11	275
FOXR1	11	9585
AP003392.4	11	3181
CCDC84	11	17650
RPL23AP64	11	435
AP003392.1	11	1152
AP003392.2	11	208
RPS25	11	2980
TRAPPC4	11	7023
MIR3656	11	69
SLC37A4	11	6793
AP003392.3	11	1306
HYOU1	11	13014
AP003392.5	11	415
AP003392.6	11	325
VPS11	11	14287
HMBS	11	8684
H2AFX	11	1614
DPAGT1	11	11829
C2CD2L	11	16347
HINFP	11	14458
ABCG4	11	13642
NLRX1	11	17449
PDZD3	11	4767
CCDC153	11	7132
CBL	11	107651
RNU6-262P	11	116
MCAM	11	12993
MIR6756	11	63
RNF26	11	2787
AP003396.1	11	1061
C1QTNF5	11	2002
MFRP	11	7732
USP2	11	26512
AP003396.3	11	8908
USP2-AS1	11	144887
AP003396.2	11	1297
AP003396.4	11	265
THY1	11	7608
AP003396.5	11	1164
DUXAP5	11	529
KRT8P7	11	1432
AP003393.1	11	50862
NECTIN1	11	105677
RNU6-1123P	11	106
AP003390.2	11	4006
AP003390.1	11	10041
AP001994.1	11	826
AP001360.1	11	7084
AP001360.2	11	3555
TRIM29	11	74255
AP000679.1	11	2703
OAF	11	19566
POU2F3	11	83305
AP001150.1	11	16174
TMEM136	11	8554
ARHGEF12	11	153023
GRIK4	11	477205
ELOCP22	11	334
AP004147.1	11	26865
HMGB1P42	11	553
TBCEL	11	66704
TECTA	11	90321
AP001124.1	11	385
RPS4XP12	11	709
SC5D	11	16242
BMPR1APS2	11	1012
AP002365.1	11	772
AP000977.1	11	5683
SORL1	11	181491
RNU6-256P	11	97
MIR100HG	11	528395
MIR125B1	11	88
BLID	11	862
MIRLET7A2	11	72
MIR100	11	80
AP000755.1	11	6826
AP000755.2	11	12830
RNU4ATAC10P	11	122
RNU4ATAC5P	11	126
RNU6-592P	11	103
AP002469.1	11	1043
AP002469.2	11	424
UBASH3B	11	158799
CRTAM	11	34140
C11orf63	11	77271
RNU4-23P	11	140
ATP5F1P5	11	760
BSX	11	4151
AP003040.1	11	1024
AP000926.2	11	358
AP000926.3	11	567
AP000926.1	11	241
HSPA8	11	5742
SNORD14E	11	85
SNORD14D	11	87
SNORD14C	11	88
CLMP	11	125417
AP000926.4	11	454
AP001970.1	11	39476
AP001782.1	11	1097
PHBP17	11	541
GRAMD1B	11	269347
MIR4493	11	73
AP002765.1	11	1507
SCN3B	11	26058
AP002765.2	11	3139
ZNF202	11	17499
OR6X1	11	1058
RNU1-21P	11	163
OR6M1	11	1053
OR6M2P	11	871
OR6M3P	11	700
TMEM225	11	2717
OR8D4	11	1331
OR4D5	11	1095
OR6T1	11	1089
OR10S1	11	1121
OR10G6	11	999
OR10G5P	11	358
OR10G4	11	936
OR10G9	11	936
OR10G8	11	1045
OR10G7	11	945
OR10D5P	11	915
OR10D4P	11	951
OR10N1P	11	869
VWA5A	11	32360
OR10D1P	11	936
OR10D3	11	1030
OR8F1P	11	930
OR8G3P	11	921
OR8G2P	11	908
OR8G7P	11	1067
OR8G1	11	936
OR8G5	11	1041
SLC5A4P1	11	612
OR8D1	11	1026
OR8D2	11	1051
AP001804.1	11	919
AP001804.3	11	880
AP001804.2	11	910
OR8B1P	11	918
OR8C1P	11	925
OR8B2	11	968
OR8B3	11	987
OR8X1P	11	869
OR8B4	11	990
OR8B8	11	1033
OR8A2P	11	952
OR8B9P	11	925
OR8B10P	11	932
AP000916.2	11	286
AP000916.1	11	835
OR8B12	11	998
OR8A1	11	1146
OR8Q1P	11	655
PANX3	11	8867
TBRG1	11	12563
SIAE	11	62595
RNA5SP352	11	134
SPA17	11	23721
NRGN	11	7365
AP000866.5	11	1704
VSIG2	11	4767
ESAM	11	9708
AP000866.2	11	6808
MSANTD2	11	34176
AP000866.6	11	3579
AP000866.3	11	433
AP000866.1	11	34038
AP000866.4	11	448
ROBO3	11	16085
AP003501.1	11	4099
ROBO4	11	14810
AP003501.2	11	823
HEPACAM	11	17220
HEPN1	11	1434
CCDC15	11	87369
SLC37A2	11	27246
TMEM218	11	15219
KRT18P59	11	13621
AP001007.2	11	6741
PKNOX2-AS1	11	6149
PKNOX2	11	268703
AP001007.3	11	3290
AP001007.1	11	8173
RNU6-321P	11	106
FEZ1	11	50573
AP000708.1	11	4315
EI24	11	15472
STT3A-AS1	11	22285
RNU6-1156P	11	100
STT3A	11	33504
CHEK1	11	51120
RNU2-35P	11	142
ACRV1	11	9602
PATE1	11	3575
PATE2	11	2707
PATE3	11	3490
PATE4	11	6754
AP000842.3	11	1498
HYLS1	11	17035
PUS3	11	9737
AP000842.2	11	35670
DDX25	11	40355
AP000842.1	11	698
VSIG10L2	11	10264
CDON	11	107540
AP000842.4	11	748
NAP1L1P1	11	1063
AP000821.1	11	1909
AP001893.3	11	15322
AP001893.2	11	202
RPUSD4	11	9599
AP001893.1	11	417
FAM118B	11	51573
RNU4-86P	11	219
RN7SL351P	11	248
SRPRA	11	6226
FOXRED1	11	9077
AP001318.1	11	321
TIRAP	11	15781
AP001318.2	11	1333
AP001318.3	11	10021
DCPS	11	41998
GSEC	11	14699
ST3GAL4	11	84705
AP001318.4	11	121
KIRREL3	11	580102
KIRREL3-AS1	11	67002
AP001783.1	11	29253
AP002833.1	11	20472
AP002833.3	11	2265
KIRREL3-AS2	11	4345
MIR3167	11	85
AP002833.2	11	3007
KIRREL3-AS3	11	3149
AP001973.1	11	31800
AP001993.1	11	34319
AP001993.2	11	20410
AP003121.1	11	32681
AP003481.1	11	66005
RN7SKP121	11	305
RN7SKP279	11	298
AP003532.1	11	310
AP001000.1	11	742
AP000904.1	11	3128
LINC02098	11	32613
ETS1	11	128798
MIR6090	11	60
AP003397.1	11	4248
AP001995.2	11	897
AP001995.1	11	5940
AP001122.1	11	57270
FLI1	11	126733
SENCR	11	4352
KCNJ1	11	31059
AP000920.1	11	344
KCNJ5	11	29680
C11orf45	11	6471
TP53AIP1	11	8669
ARHGAP32	11	314265
RNU6-876P	11	104
RNU6-874P	11	105
ZNF123P	11	1196
BARX2	11	76340
RPS27P20	11	246
AP003500.1	11	20618
LINC01395	11	5154
AP003327.1	11	127
TMEM45B	11	44185
NFRKB	11	31955
PRDM10	11	103130
LINC00167	11	1419
AP003041.2	11	1180
ELOBP2	11	355
AP003041.3	11	707
APLP2	11	74975
AP003041.1	11	287
ST14	11	50815
ZBTB44	11	88010
AC019227.1	11	811
DDX18P5	11	1306
RN7SL778P	11	297
AP002986.1	11	88665
ADAMTS8	11	24069
ADAMTS15	11	27668
AP004371.1	11	214
BAK1P2	11	631
MIR8052	11	69
C11orf44	11	44397
PPP1R10P1	11	1795
AP003486.1	11	21371
AP003486.2	11	3994
SNX19	11	41074
RN7SL167P	11	302
AP002856.3	11	2732
AP002856.1	11	10165
AP002856.4	11	17279
AP002856.2	11	97496
NTM	11	966345
RNU6ATAC12P	11	115
AP003025.2	11	38109
AP003025.1	11	26939
NTM-AS1	11	1453
AP004372.1	11	844
AP000844.2	11	19429
AP000844.1	11	3566
NTM-IT	11	780
AP000843.1	11	701
OPCML	11	1117543
AP003784.1	11	1749
OPCML-IT2	11	833
AP004782.1	11	3433
AP003972.1	11	5446
OPCML-IT1	11	6052
AP001979.2	11	26706
SPATA19	11	4908
AP001979.1	11	751
MIR4697HG	11	5164
MIR4697	11	78
IGSF9B	11	48422
AP000911.4	11	1132
AP000911.1	11	14578
AP000911.3	11	1276
JAM3	11	83077
AP000911.2	11	502
NCAPD3	11	75336
AP001775.1	11	586
AP001775.2	11	7343
VPS26B	11	23148
THYN1	11	5092
ACAD8	11	12361
GLB1L3	11	45320
AP000859.1	11	307
GLB1L2	11	46468
B3GAT1	11	33415
AP004608.1	11	69189
AP004550.1	11	9661
AP001999.2	11	599
AP001999.3	11	1381
AP001999.1	11	28215
AP003062.1	11	861
AP003062.2	11	1117
AP005135.1	11	14119
AC215217.1	10	2484
AL713922.1	10	2173
TUBB8	10	27272
IL9RP2	10	5872
ZMYND11	10	120173
AL713922.2	10	932
RNA5SP297	10	113
DIP2C	10	415479
RNA5SP298	10	111
RN7SL754P	10	266
AL669841.1	10	3610
AL358216.1	10	2618
MIR5699	10	90
PRR26	10	19634
AL157709.1	10	967
LARP4B	10	124792
AL359878.2	10	9718
AL359878.1	10	17196
GTPBP4	10	31918
IDI2	10	6953
IDI2-AS1	10	21536
IDI1	10	9263
WDR37	10	82760
LINC00200	10	4905
ADARB2	10	560159
AL392083.1	10	2985
AL513304.1	10	637
ADARB2-AS1	10	30348
LINC00700	10	8876
AL441943.1	10	9253
MIR6072	10	71
RNU6-889P	10	103
AL441943.2	10	3129
AL441943.3	10	20335
RNU6-576P	10	102
LINC00701	10	9993
AC024908.1	10	1100
AL713851.2	10	850
AL713851.1	10	65457
AC026396.1	10	421
AL731533.1	10	2581
AL731533.2	10	578
PFKP	10	71380
AL451164.3	10	10601
PITRM1	10	35114
PITRM1-AS1	10	26341
AL451164.2	10	3592
AL451164.1	10	16840
AL139280.1	10	1013
AL357833.1	10	15945
AL357833.2	10	4938
AL450322.2	10	12160
AL450322.1	10	837
KLF6	10	9286
AL513303.2	10	779
AL513303.1	10	1295
MIR6078	10	100
AC025822.1	10	3455
AC025822.2	10	37288
LINC00702	10	42772
LINC00703	10	26367
AC022535.1	10	10875
RNU6-163P	10	106
LINC00704	10	27970
LINC00705	10	6993
AKR1E2	10	61434
AKR1C6P	10	20075
AKR1C1	10	20031
AKR1C2	10	30632
AL391427.1	10	1893
AKR1C3	10	72333
AKR1C5P	10	13140
AKR1C8P	10	31045
AKR1C4	10	23488
ARL4AP3	10	574
AL355303.2	10	29051
AL355303.1	10	5204
AKR1C7P	10	13298
RPL26P28	10	435
AL683826.1	10	627
UCN3	10	9684
TUBAL3	10	11733
NET1	10	45913
CALML5	10	859
CALML3-AS1	10	12003
CALML3	10	2763
AL732437.1	10	767
AL365356.5	10	1128
AL365356.4	10	2319
AL365356.3	10	1300
AL365356.2	10	196
RN7SL445P	10	293
ASB13	10	27729
FAM208B	10	78903
AL365356.1	10	31894
GDI2	10	76910
NRBF2P5	10	788
AL596094.1	10	457
ANKRD16	10	28290
RPL12P28	10	790
FBXO18	10	47392
AL137186.2	10	11631
IL15RA	10	34549
IL2RA	10	51637
SNORA14	10	141
AL137186.1	10	10450
RPL32P23	10	405
RBM17	10	28471
PFKFB3	10	109711
RN7SKP78	10	318
MIR3155A	10	82
MIR3155B	10	56
AL157395.1	10	5082
AL137145.2	10	58296
SDCBPP1	10	1585
AL137145.1	10	2447
PRKCQ	10	153159
PRKCQ-AS1	10	36034
AL158210.1	10	6631
LINP1	10	1645
LINC00706	10	4874
LINC00707	10	63309
AL392086.1	10	29016
AL590095.1	10	524
AL590095.2	10	117
SFMBT2	10	252863
COX6CP17	10	185
AL139125.2	10	1869
AL139125.1	10	26385
RNU6-535P	10	107
AL445070.1	10	3359
ITIH5	10	107729
ITIH2	10	46252
KIN	10	37020
ATP5C1	10	19687
TAF3	10	198124
AL353754.1	10	340
GATA3-AS1	10	3035
AL390294.1	10	1544
GATA3	10	21595
PRPF38AP1	10	933
LINC00708	10	8975
AL390835.1	10	2771
AC025946.1	10	61004
AC025946.2	10	234
KRT8P37	10	1420
CHCHD3P1	10	676
RNA5SP299	10	116
AL355333.1	10	279
AC044784.2	10	16608
AC044784.1	10	3344
LINC00709	10	11225
HSP90AB7P	10	2454
AL157401.1	10	455
AL138775.1	10	4781
ELOCP3	10	348
CUX2P1	10	298
AL583859.1	10	1308
AL583859.3	10	1068
AL583859.2	10	43611
AL136452.1	10	439
SFTA1P	10	10544
CELF2	10	538279
LINC00710	10	34355
AL136369.2	10	10666
AL136369.1	10	956
AL162408.1	10	535
CELF2-AS2	10	33964
AL136320.1	10	2455
CELF2-AS1	10	3051
AC026887.1	10	2985
USP6NL	10	157809
AL512631.2	10	923
AL512631.1	10	840
ECHDC3	10	21705
PROSER2	10	48939
PROSER2-AS1	10	45093
UPF2	10	123149
RNU6-1095P	10	108
DHTKD1	10	54254
RNU6-88P	10	100
SEC61A2	10	40325
MIR548AK	10	57
NUDT5	10	30820
CDC123	10	54625
AL512770.1	10	3095
RN7SL198P	10	258
CAMK1D	10	486064
RNU6ATAC39P	10	149
MIR4480	10	71
MIR4481	10	60
MIR548Q	10	100
CCDC3	10	203028
RNA5SP300	10	107
RPL5P25	10	775
OPTN	10	38860
SNRPGP5	10	220
AL355355.2	10	338
AL355355.1	10	793
BTBD7P1	10	1453
RPL36AP36	10	301
MCM10	10	49551
RNU6-6P	10	107
UCMA	10	12568
PHYH	10	24617
C8orf59P1	10	303
SEPHS1	10	30875
AL355870.1	10	7932
BEND7	10	90491
AL590677.1	10	1747
PRPF18	10	43942
RPL6P24	10	864
AL157392.5	10	45883
AL157392.3	10	37303
FRMD4A	10	818437
AL157392.4	10	345
AL157392.1	10	1640
RNA5SP301	10	121
AL157392.2	10	26818
NUTF2P5	10	379
AC044781.1	10	15712
AL157896.1	10	13322
MIR4293	10	78
MIR1265	10	86
FAM107B	10	256341
AL158168.1	10	8950
RNA5SP302	10	100
RPSAP7	10	885
CDNF	10	19326
HSPA14	10	33578
AC069544.2	10	6562
AC069544.1	10	999
SUV39H2	10	25496
DCLRE1C	10	57074
MEIG1	10	28612
OR7E110P	10	574
OR7E26P	10	1006
OR7E115P	10	1024
DCLRE1CP1	10	6494
OLAH	10	41626
ACBD7	10	11254
GAPDHP45	10	349
C10orf111	10	1935
RPP38	10	42639
NMT2	10	66110
PPIAP30	10	519
AL590365.1	10	243
FAM171A1	10	159420
AL607028.1	10	4276
ITGA8	10	206177
MINDY3	10	82351
FTLP19	10	394
RNU6-1075P	10	107
AL355339.1	10	17158
PTER	10	76803
RNU2-18P	10	162
C1QL3	10	8263
RSU1	10	226918
AC073367.1	10	27026
CUBN	10	305868
AC067747.1	10	250
TRDMT1	10	59801
VIM-AS1	10	15747
VIM	10	9335
AL133415.1	10	1509
ST8SIA6	10	135948
ST8SIA6-AS1	10	26568
PRPF38AP2	10	851
HACD1	10	28346
AC069542.2	10	218
STAM-AS1	10	2595
STAM	10	71790
AC069542.1	10	4524
TMEM236	10	48617
MRC1	10	101827
MIR511	10	87
AC069023.1	10	2585
SLC39A12	10	91454
SLC39A12-AS1	10	8777
CACNB2	10	401193
AL390783.1	10	55068
AL450384.2	10	32537
AL450384.1	10	1488
NSUN6	10	113725
ARL5B	10	22235
AIFM1P1	10	2887
AL512641.1	10	1421
AL357520.1	10	453
MALRD1	10	741631
UBE2V2P1	10	716
AL590378.1	10	1258
HMGN1P20	10	300
AL354695.1	10	228
RNA5SP303	10	130
AL157895.1	10	18223
MTND1P37	10	264
MTND2P16	10	799
RNU6-1212P	10	104
PLXDC2	10	473618
AC069549.1	10	20980
AMD1P1	10	1052
AL590032.1	10	252
MIR4675	10	77
NEBL	10	394215
MTND1P21	10	285
AL157398.1	10	186
EIF4BP2	10	1794
NPM1P30	10	2707
C10orf113	10	20797
NEBL-AS1	10	1035
AL731547.1	10	389
LUZP4P1	10	344
RNU6-15P	10	107
AL158209.1	10	32718
RNMTL1P1	10	560
AL158209.2	10	216
CASC10	10	4605
MIR1915	10	80
SKIDA1	10	12891
MLLT10	10	218956
RNU6-306P	10	107
HNRNPRP1	10	1695
RNU6-1141P	10	107
DNAJC1	10	247233
RN7SKP219	10	296
AL359697.1	10	587
RN7SKP37	10	296
ADIPOR1P1	10	2803
AL157831.1	10	1215
EBLN1	10	1208
AL157831.2	10	3095
PSME2P6	10	327
AL158211.5	10	2518
AL158211.1	10	763
RPL31P45	10	356
COMMD3	10	4335
COMMD3-BMI1	10	13155
BMI1	10	10274
AL158211.4	10	584
AL158211.2	10	395
AL158211.3	10	239
SPAG6	10	108780
AL513128.1	10	51896
PIP4K2A	10	179707
AL390318.1	10	687
RNU6-413P	10	107
ARMC3	10	110500
RNA5SP304	10	104
MSRB2	10	26508
YWHAZP3	10	738
PTF1A	10	1926
C10orf67	10	142930
AL139281.1	10	335
AL606469.1	10	1225
MIR1254-2	10	63
OTUD1	10	2933
KIAA1217	10	853103
NUP35P1	10	947
AC063961.1	10	88
MIR603	10	97
AL353583.1	10	1855
ARHGAP21	10	140060
RNA5SP305	10	119
PRTFDC1	10	103998
AL157385.1	10	546
RN7SKP241	10	291
AL512598.1	10	273
ENKUR	10	80301
THNSL1	10	10007
LINC01516	10	48179
GPR158-AS1	10	18205
GPR158	10	427165
AL354976.1	10	794
RN7SKP220	10	288
GPN3P1	10	535
LINC00836	10	81224
HIRAP1	10	787
RNA5SP306	10	107
RNU6-632P	10	64
AL358612.1	10	9263
MYO3A	10	278261
GAD2	10	88252
APBB1IP	10	129601
RNA5SP307	10	116
AL160287.1	10	44663
FAM238A	10	4466
AL390961.2	10	1789
FAM238B	10	5469
AL390961.1	10	33090
AL390961.4	10	2535
PDSS1	10	49140
HSPA8P3	10	1211
AL390961.3	10	1144
ABI1	10	114495
